"ncid","race_code","ethnic_code","party_cd","gender_code","birth_age","drivers_lic","register_dt","2008 GENERAL","2010 GENERAL","2012 GENERAL","2014 GENERAL","2016 GENERAL"
"DH62782","W","UN","REP","M",47,"Y",2016,0,0,0,0,1
"CW896612","B","UN","DEM","F",38,"N",2010,0,0,0,0,0
"BC37450","B","NL","DEM","F",86,"Y",1997,1,0,1,1,1
"EH488386","W","NL","UNA","M",68,"Y",2007,1,1,1,1,1
"CN52638","W","NL","REP","M",70,"Y",2006,0,0,0,0,0
"CG168139","U","HL","DEM","M",42,"Y",2016,0,0,0,0,1
"AK124295","W","NL","DEM","F",66,"Y",2013,0,0,0,0,1
"EH831557","B","UN","DEM","F",58,"Y",2008,1,0,1,1,1
"CW1089687","W","NL","DEM","M",37,"Y",2015,0,0,0,0,0
"EC7429","W","NL","REP","M",58,"N",1990,0,1,0,1,0
"DS103626","W","NL","UNA","M",25,"Y",2011,0,0,0,0,0
"BE347389","W","NL","REP","M",23,"N",2012,0,0,0,0,0
"EB49936","W","NL","REP","F",33,"Y",2002,1,0,1,1,1
"CW906171","B","NL","REP","F",61,"Y",2011,0,0,0,0,0
"EG16438","W","NL","DEM","M",55,"N",1980,1,0,1,0,1
"BE244383","B","NL","UNA","M",38,"Y",2006,1,0,1,0,0
"AL273647","W","UN","UNA","F",24,"N",2012,0,0,1,1,0
"DD160057","U","UN","REP","F",34,"N",2012,0,0,0,0,0
"EG38110","B","NL","DEM","F",39,"Y",2014,0,0,0,1,1
"BY495680","W","NL","REP","M",28,"Y",2013,1,0,0,0,1
"CW316415","W","NL","REP","F",64,"Y",1995,1,0,0,0,0
"DT118154","W","NL","REP","F",64,"Y",2006,1,1,1,1,1
"DD157639","O","HL","UNA","F",47,"Y",2012,0,0,0,0,0
"AK40582","B","NL","DEM","F",73,"Y",1996,1,1,1,1,1
"CY21063","W","NL","REP","F",48,"Y",1999,1,1,1,1,1
"DL256452","B","UN","DEM","M",26,"N",2016,0,0,0,0,1
"DA88849","W","NL","REP","M",60,"Y",2014,1,1,1,1,1
"DT136995","B","NL","DEM","F",51,"Y",2010,0,0,1,0,0
"AW49501","W","NL","REP","F",62,"N",1984,1,0,1,1,1
"EH1133308","U","UN","DEM","U",22,"Y",2016,0,0,0,0,0
"EN61162","W","NL","DEM","M",59,"Y",2016,1,0,1,1,1
"EH451570","W","UN","REP","M",46,"Y",2008,1,1,1,1,1
"CZ74487","W","NL","UNA","M",75,"Y",2007,1,1,1,1,1
"DE280934","B","NL","DEM","F",25,"Y",2016,0,0,1,0,1
"AW80098","W","NL","REP","M",42,"Y",1992,1,1,1,0,1
"BE336459","B","NL","DEM","F",25,"Y",2011,0,0,0,0,0
"EF189081","B","NL","DEM","F",30,"Y",2014,0,0,0,0,1
"DB170492","W","UN","REP","M",58,"Y",2004,1,1,1,1,1
"BY653822","B","NL","UNA","M",64,"Y",2016,0,0,0,0,1
"AG38482","W","UN","UNA","M",36,"Y",2016,0,0,0,0,1
"BC40298","W","NL","UNA","M",39,"Y",1999,1,1,1,0,0
"BE336764","B","NL","DEM","F",28,"Y",2012,0,0,0,0,0
"EH985421","W","UN","DEM","F",48,"Y",2013,0,0,0,0,0
"DT154997","W","NL","UNA","F",21,"Y",2015,0,0,0,0,1
"EH1056775","W","NL","UNA","F",33,"N",2015,0,0,0,0,0
"BY380246","W","UN","UNA","F",31,"Y",2003,1,1,1,1,1
"CH7395","W","NL","UNA","F",70,"N",1980,1,1,1,1,1
"AT23712","B","NL","DEM","M",56,"Y",2008,1,1,1,1,0
"CW919168","A","NL","DEM","M",45,"Y",2011,0,0,1,1,1
"CW388530","W","NL","REP","F",54,"Y",1997,1,1,1,1,1
"DZ17164","W","NL","DEM","M",67,"Y",2014,0,0,0,1,1
"DL169937","B","UN","DEM","M",75,"Y",2004,1,1,1,1,0
"CC144095","W","NL","REP","M",21,"Y",2016,0,0,0,0,1
"EH767084","W","NL","REP","M",50,"Y",2008,1,1,1,1,1
"BL239450","W","NL","UNA","F",45,"Y",2006,1,0,1,0,1
"BC56781","W","UN","UNA","F",51,"Y",2014,1,1,1,1,1
"BB43135","W","NL","UNA","F",57,"Y",1996,1,1,1,1,1
"BB100133","W","NL","DEM","F",78,"Y",2016,0,0,0,0,1
"CG39593","W","NL","REP","M",52,"Y",1982,1,1,1,1,1
"BN148208","W","NL","UNA","F",60,"Y",1989,1,0,1,1,1
"DD62284","W","NL","UNA","F",57,"Y",1998,1,0,1,0,1
"CY31840","W","NL","UNA","F",29,"Y",2013,0,0,0,0,0
"BT7417","W","NL","DEM","F",42,"Y",1994,1,1,1,0,1
"AW104668","W","NL","UNA","M",50,"Y",1996,1,1,1,1,1
"AP68342","W","UN","REP","M",62,"Y",2004,1,1,1,1,1
"DN133362","W","NL","REP","F",23,"Y",2012,0,0,1,0,1
"BF5034","W","NL","DEM","M",62,"N",1980,1,1,1,1,1
"AP69519","W","NL","DEM","F",34,"Y",2008,1,1,1,1,1
"CL44708","W","NL","UNA","F",31,"Y",2007,0,0,0,0,0
"BR11465","W","NL","UNA","M",61,"Y",2016,1,0,1,0,1
"BE229937","W","HL","REP","F",40,"Y",2016,1,0,1,1,1
"CW200998","W","NL","REP","F",69,"Y",1990,1,1,1,1,1
"BC19711","W","NL","DEM","F",57,"Y",1978,1,1,1,1,1
"EG48804","B","NL","DEM","M",55,"Y",2008,1,1,1,1,1
"BN490444","B","UN","UNA","U",20,"N",2016,0,0,0,0,1
"EH736137","W","NL","REP","F",81,"Y",2007,1,1,1,1,1
"DT149031","W","NL","REP","M",23,"Y",2013,0,0,0,0,0
"EF86402","W","NL","UNA","M",41,"Y",2000,1,0,1,1,1
"BL420799","B","UN","DEM","M",26,"Y",2010,0,0,1,0,0
"EH839861","W","NL","REP","F",26,"Y",2016,0,0,1,0,1
"BH120600","W","UN","REP","M",44,"Y",2004,1,1,1,1,1
"BG49321","W","NL","UNA","F",26,"Y",2014,0,0,0,0,1
"BY481402","W","NL","UNA","F",91,"Y",2006,1,0,0,0,1
"CW871299","B","NL","DEM","F",25,"Y",2009,0,0,0,0,1
"EH474707","W","NL","REP","M",68,"Y",2000,1,1,1,1,1
"EH1029161","W","NL","REP","F",92,"N",2014,0,0,0,0,1
"CW785875","O","HL","DEM","F",38,"Y",2008,0,0,1,0,1
"AL262131","O","NL","UNA","M",53,"Y",2012,0,0,0,0,0
"DL142006","W","NL","UNA","M",42,"Y",2014,0,0,0,0,1
"EH352706","B","NL","REP","F",46,"Y",1996,1,1,1,1,1
"BE387830","W","UN","DEM","M",38,"Y",2016,0,0,0,0,0
"EH34592","W","NL","DEM","F",85,"Y",1968,1,1,1,1,1
"EF197948","W","UN","DEM","F",47,"Y",2016,0,0,0,0,1
"BB100912","W","UN","UNA","M",25,"Y",2015,0,0,0,0,0
"EB26707","W","NL","DEM","F",44,"Y",1992,1,1,0,1,0
"AG14211","W","NL","REP","M",54,"Y",1980,1,1,1,1,1
"EH530855","B","NL","DEM","F",55,"Y",2002,1,0,1,1,1
"BY84576","W","NL","DEM","M",74,"Y",1976,1,1,1,1,1
"EP8900","W","NL","DEM","M",73,"Y",1968,1,1,1,1,1
"CP21252","W","NL","REP","M",60,"Y",1998,1,1,1,0,1
"AE14848","W","NL","UNA","M",53,"Y",1990,1,0,0,0,0
"CX10021","W","NL","REP","F",49,"N",1990,1,0,1,1,1
"BB12243","W","NL","UNA","F",77,"Y",1972,1,1,1,1,1
"DJ3771","B","NL","DEM","F",61,"Y",1988,1,1,1,1,1
"BL412835","B","NL","UNA","F",27,"Y",2012,0,0,0,0,0
"BY104159","B","NL","DEM","M",117,"N",1963,1,1,1,0,1
"EH1115731","W","NL","UNA","M",46,"Y",2016,0,0,0,0,1
"EB67575","W","NL","UNA","M",29,"Y",2012,0,0,1,0,0
"BL440728","B","UN","UNA","M",40,"Y",2014,0,0,0,0,1
"EM62149","W","NL","REP","M",38,"Y",2000,1,1,1,1,1
"BB23494","B","NL","DEM","M",71,"N",1984,1,1,1,1,1
"DT112163","W","NL","DEM","F",57,"Y",2004,1,0,1,1,1
"BY354815","W","NL","DEM","M",33,"Y",2001,1,1,1,1,1
"AW41048","W","NL","REP","M",70,"Y",1980,1,1,1,1,1
"BE313189","B","UN","DEM","F",43,"Y",2009,0,0,1,0,1
"EH80859","W","NL","DEM","M",51,"Y",1983,1,1,1,1,1
"EA9075","W","NL","DEM","M",58,"Y",1982,1,1,1,1,1
"EL23495","W","NL","UNA","F",67,"N",1993,1,1,1,0,1
"BY450438","B","NL","UNA","M",51,"Y",1998,1,1,1,1,1
"BS14298","B","UN","UNA","M",21,"N",2014,0,0,0,0,0
"CW819343","U","HL","DEM","M",44,"Y",2008,1,0,0,0,1
"BY8043","W","NL","REP","F",51,"Y",1987,1,1,1,1,1
"CS18920","B","NL","DEM","M",57,"N",1997,1,1,1,1,1
"BY396522","W","NL","REP","F",33,"Y",2004,1,1,1,1,1
"BR132467","W","NL","REP","M",47,"Y",2004,1,0,1,0,1
"BY85453","B","NL","DEM","M",74,"Y",1972,1,1,1,1,1
"CW377429","W","NL","UNA","M",67,"Y",1996,1,1,1,1,1
"EL64419","W","NL","UNA","F",30,"Y",2007,0,0,0,0,0
"BB82708","W","NL","UNA","M",64,"Y",2008,1,1,1,0,1
"BE306872","W","NL","REP","M",31,"Y",2008,1,1,1,1,1
"BC14323","W","NL","DEM","F",55,"Y",1988,0,0,0,0,0
"EH467450","W","NL","UNA","M",34,"Y",2000,1,1,1,1,1
"CP35863","W","UN","DEM","M",28,"Y",2016,1,1,1,0,1
"BM44609","B","NL","DEM","M",35,"Y",2012,0,0,1,0,1
"CZ104923","W","NL","UNA","M",31,"Y",2016,0,0,0,0,1
"DA14140","W","NL","REP","F",46,"N",1998,1,0,0,0,1
"CW686419","A","NL","DEM","M",29,"Y",2005,0,0,0,0,0
"EH698157","W","NL","DEM","F",55,"Y",2006,1,0,1,0,1
"CH33050","W","NL","REP","F",44,"N",2000,1,1,1,1,1
"BL77053","B","NL","DEM","F",54,"Y",1983,1,1,1,1,1
"AK72920","W","NL","UNA","M",37,"Y",2015,1,0,1,0,0
"BE189152","W","NL","UNA","M",55,"Y",2001,0,0,0,0,1
"AL302055","B","NL","DEM","F",22,"Y",2016,0,0,0,0,1
"AA8396","W","NL","REP","F",66,"Y",1980,1,1,1,1,1
"EH789816","U","UN","UNA","U",44,"Y",2010,1,0,1,1,1
"DD77882","B","UN","DEM","M",93,"Y",2012,1,0,0,0,0
"CZ56706","W","NL","UNA","F",39,"Y",2002,0,1,1,0,1
"DN104300","W","NL","REP","M",31,"Y",2004,1,0,1,0,1
"BE139154","B","NL","DEM","F",44,"Y",1997,1,0,1,0,1
"EH24401","W","NL","REP","M",86,"N",1956,1,1,1,1,1
"CW651366","W","NL","REP","F",45,"N",2004,0,0,0,0,0
"EP77510","B","UN","DEM","F",28,"Y",2008,1,1,1,0,1
"BJ24224","W","UN","UNA","M",50,"Y",2002,1,0,1,0,1
"AG59349","B","UN","DEM","M",42,"Y",2016,0,0,0,0,1
"AL317737","W","UN","DEM","F",42,"Y",2016,0,0,0,0,0
"EA2591","W","NL","REP","F",74,"N",1969,1,0,1,1,1
"CW40217","W","NL","REP","M",76,"N",1970,1,1,1,1,1
"CA120967","W","NL","UNA","F",20,"Y",2016,0,0,0,0,1
"CN13810","B","NL","DEM","F",64,"Y",1981,1,1,1,0,1
"BJ29409","W","NL","UNA","M",45,"Y",2005,1,1,1,1,1
"DP32233","W","NL","REP","F",40,"N",2000,1,1,1,1,1
"EM102607","W","NL","UNA","F",25,"Y",2010,0,0,0,0,0
"EH693112","U","UN","DEM","U",42,"Y",2016,1,1,1,0,0
"EH753070","W","UN","DEM","M",27,"Y",2008,1,1,1,0,0
"CG76280","W","NL","UNA","M",53,"Y",2001,0,0,0,0,0
"EL65384","W","NL","REP","F",28,"Y",2011,1,0,1,1,1
"CW634699","B","UN","DEM","F",35,"Y",2004,1,1,1,0,0
"DX25961","W","NL","REP","M",54,"N",1980,1,1,1,1,1
"EB53870","W","NL","REP","F",85,"Y",2004,1,1,1,1,1
"CJ89395","W","UN","REP","M",60,"Y",2002,1,0,1,0,1
"CW339440","B","NL","DEM","M",42,"Y",1996,1,0,1,1,1
"EH925178","W","NL","UNA","F",49,"Y",2012,0,0,1,1,1
"CW676228","B","NL","DEM","M",34,"Y",2004,1,0,1,1,1
"EH1020109","U","UN","UNA","U",21,"Y",2014,0,0,0,1,1
"EF69138","W","NL","REP","M",38,"Y",1998,0,0,0,0,0
"EH545074","W","NL","UNA","F",51,"Y",2002,0,0,1,1,1
"EH318810","B","NL","DEM","M",43,"N",1996,1,1,1,1,1
"DW5699","W","NL","REP","F",70,"Y",1976,1,1,1,1,1
"EH300629","W","NL","UNA","M",65,"Y",1996,1,1,1,1,1
"DB48352","W","NL","REP","M",63,"N",1990,1,1,1,1,1
"EL93006","W","UN","UNA","F",19,"N",2016,0,0,0,0,1
"DZ63803","W","NL","REP","F",23,"Y",2012,0,0,0,0,0
"DW58021","W","HL","REP","M",54,"Y",2012,1,0,1,0,0
"CG134728","W","NL","UNA","M",55,"Y",2010,0,1,1,1,1
"BY123328","B","NL","DEM","F",71,"Y",1979,1,1,1,0,1
"EA6931","W","NL","DEM","F",82,"N",1969,1,1,1,1,1
"CW678904","B","NL","DEM","M",59,"Y",2004,1,0,1,0,1
"BN393552","B","UN","UNA","F",69,"Y",2008,1,0,1,0,1
"BJ29761","W","NL","UNA","F",50,"Y",2006,1,1,1,0,1
